StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-09-06T04:00:00Z,APXMIDP,06-09-2024,11,84.71,2176.8
2024-09-06T03:30:00Z,APXMIDP,06-09-2024,10,66.19,2324.1
2024-09-06T03:00:00Z,APXMIDP,06-09-2024,9,71.41,2334.15
2024-09-06T02:30:00Z,APXMIDP,06-09-2024,8,68.27,2405.45
2024-09-06T02:00:00Z,APXMIDP,06-09-2024,7,69.91,2314.85
2024-09-06T01:30:00Z,APXMIDP,06-09-2024,6,76.43,2526.9
2024-09-06T01:00:00Z,APXMIDP,06-09-2024,5,75.28,2335
2024-09-06T00:30:00Z,APXMIDP,06-09-2024,4,80.34,2562.95
2024-09-06T00:00:00Z,APXMIDP,06-09-2024,3,77.25,2407.35
2024-09-05T23:30:00Z,APXMIDP,06-09-2024,2,82.43,2258.1
2024-09-05T23:00:00Z,APXMIDP,06-09-2024,1,84.46,2370.5
2024-09-05T22:30:00Z,APXMIDP,05-09-2024,48,86.81,1979.65
2024-09-05T22:00:00Z,APXMIDP,05-09-2024,47,87.69,1998.15
2024-09-05T21:30:00Z,APXMIDP,05-09-2024,46,79.89,1946.9
2024-09-05T21:00:00Z,APXMIDP,05-09-2024,45,81.51,2105.4
2024-09-05T20:30:00Z,APXMIDP,05-09-2024,44,83.81,2047.4
2024-09-05T20:00:00Z,APXMIDP,05-09-2024,43,93.25,2357.75
2024-09-05T19:30:00Z,APXMIDP,05-09-2024,42,98.82,2727.15
2024-09-05T19:00:00Z,APXMIDP,05-09-2024,41,106.73,3033.1
2024-09-05T18:30:00Z,APXMIDP,05-09-2024,40,111.73,3002.75
2024-09-05T18:00:00Z,APXMIDP,05-09-2024,39,111.52,3128
2024-09-05T17:30:00Z,APXMIDP,05-09-2024,38,109.63,3239
2024-09-05T17:00:00Z,APXMIDP,05-09-2024,37,110.7,3454.9
2024-09-05T16:30:00Z,APXMIDP,05-09-2024,36,103.11,3035.25
2024-09-05T16:00:00Z,APXMIDP,05-09-2024,35,100.12,2740.9
2024-09-05T15:30:00Z,APXMIDP,05-09-2024,34,81.75,2909.55
2024-09-05T15:00:00Z,APXMIDP,05-09-2024,33,82.04,3207.05
2024-09-05T14:30:00Z,APXMIDP,05-09-2024,32,82.29,2169.5
2024-09-05T14:00:00Z,APXMIDP,05-09-2024,31,83.78,3012.7
2024-09-05T13:30:00Z,APXMIDP,05-09-2024,30,80.51,2944.7
2024-09-05T13:00:00Z,APXMIDP,05-09-2024,29,83.14,3074.85
2024-09-05T12:30:00Z,APXMIDP,05-09-2024,28,79.92,2936.4
2024-09-05T12:00:00Z,APXMIDP,05-09-2024,27,74.99,2268.25
2024-09-05T11:30:00Z,APXMIDP,05-09-2024,26,74.47,2692.45
2024-09-05T11:00:00Z,APXMIDP,05-09-2024,25,79.41,2868.2
2024-09-05T10:30:00Z,APXMIDP,05-09-2024,24,78.03,2502.3
2024-09-05T10:00:00Z,APXMIDP,05-09-2024,23,76.32,2056.15
2024-09-05T09:30:00Z,APXMIDP,05-09-2024,22,74.77,2855.2
2024-09-05T09:00:00Z,APXMIDP,05-09-2024,21,74.24,2689.75
2024-09-05T08:30:00Z,APXMIDP,05-09-2024,20,69.77,2720.6
2024-09-05T08:00:00Z,APXMIDP,05-09-2024,19,67.27,2764.65
2024-09-05T07:30:00Z,APXMIDP,05-09-2024,18,76.66,2942.8
2024-09-05T07:00:00Z,APXMIDP,05-09-2024,17,78.38,2621.05
2024-09-05T06:30:00Z,APXMIDP,05-09-2024,16,88.78,3070.85
2024-09-05T06:00:00Z,APXMIDP,05-09-2024,15,78.09,3189.3
2024-09-05T05:30:00Z,APXMIDP,05-09-2024,14,60.65,3095.8
2024-09-05T05:00:00Z,APXMIDP,05-09-2024,13,54.33,2339.85
2024-09-05T04:30:00Z,APXMIDP,05-09-2024,12,51.41,2177.5
2024-09-05T04:00:00Z,APXMIDP,05-09-2024,11,55.69,1791.2
2024-09-05T03:30:00Z,APXMIDP,05-09-2024,10,54.13,2145.3
2024-09-05T03:00:00Z,APXMIDP,05-09-2024,9,58.35,2057.8
2024-09-05T02:30:00Z,APXMIDP,05-09-2024,8,60.16,1918.4
2024-09-05T02:00:00Z,APXMIDP,05-09-2024,7,67.89,1941.65
2024-09-05T01:30:00Z,APXMIDP,05-09-2024,6,65.15,1731.65
2024-09-05T01:00:00Z,APXMIDP,05-09-2024,5,69.75,1132.6
2024-09-05T00:30:00Z,APXMIDP,05-09-2024,4,72.73,1100
2024-09-05T00:00:00Z,APXMIDP,05-09-2024,3,77.58,1367.5
2024-09-04T23:30:00Z,APXMIDP,05-09-2024,2,76.9,1468.85
2024-09-04T23:00:00Z,APXMIDP,05-09-2024,1,78.81,1250.3
2024-09-04T22:30:00Z,APXMIDP,04-09-2024,48,84.41,1830.9
2024-09-04T22:00:00Z,APXMIDP,04-09-2024,47,72.47,1449.6
2024-09-04T21:30:00Z,APXMIDP,04-09-2024,46,81.37,2183.45
2024-09-04T21:00:00Z,APXMIDP,04-09-2024,45,82.04,2129.05
2024-09-04T20:30:00Z,APXMIDP,04-09-2024,44,90.36,2986.8
2024-09-04T20:00:00Z,APXMIDP,04-09-2024,43,93.66,2711.3
2024-09-04T19:30:00Z,APXMIDP,04-09-2024,42,85.42,2703.45
2024-09-04T19:00:00Z,APXMIDP,04-09-2024,41,94.12,2740.65
2024-09-04T18:30:00Z,APXMIDP,04-09-2024,40,95.69,2890.05
2024-09-04T18:00:00Z,APXMIDP,04-09-2024,39,96.66,2975.65
2024-09-04T17:30:00Z,APXMIDP,04-09-2024,38,120.04,3618.05
2024-09-04T17:00:00Z,APXMIDP,04-09-2024,37,121.97,3166.1
2024-09-04T16:30:00Z,APXMIDP,04-09-2024,36,115.83,3704.3
2024-09-04T16:00:00Z,APXMIDP,04-09-2024,35,105.16,2004.85
2024-09-04T15:30:00Z,APXMIDP,04-09-2024,34,87.36,1158.2
2024-09-04T15:00:00Z,APXMIDP,04-09-2024,33,84.28,889.55
2024-09-04T14:30:00Z,APXMIDP,04-09-2024,32,79.64,1334.15
2024-09-04T14:00:00Z,APXMIDP,04-09-2024,31,77.61,1672.95
2024-09-04T13:30:00Z,APXMIDP,04-09-2024,30,75.91,2530.15
2024-09-04T13:00:00Z,APXMIDP,04-09-2024,29,77.48,2273.1
2024-09-04T12:30:00Z,APXMIDP,04-09-2024,28,74.07,2512.7
2024-09-04T12:00:00Z,APXMIDP,04-09-2024,27,71.81,2642.2
2024-09-04T11:30:00Z,APXMIDP,04-09-2024,26,79.66,2720.65
2024-09-04T11:00:00Z,APXMIDP,04-09-2024,25,75.31,2602.85
2024-09-04T10:30:00Z,APXMIDP,04-09-2024,24,71.4,2050.6
2024-09-04T10:00:00Z,APXMIDP,04-09-2024,23,72.7,2065.2
